[TIME]:19:46:17  loadDictToMap completely   [FUNCTION]: void Diction::loadDictToMap(const string&) [FILE] ../src/Diction.cpp [LINE] 45 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
[TIME]:19:46:17   process completely   [FUNCTION]: void process(std::ifstream&, std::map<std::basic_string<char>, int>&, CppJieba::MixSegment&, EncodingConverter&, std::set<std::basic_string<char> >&) [FILE] ../src/Diction.cpp [LINE] 86 
